Car Design,Frontal Area (m²)
E_S_WWC_WM_339,2.334
E_S_WWC_WM_203,2.434
E_S_WWC_WM_604,2.504
E_S_WWC_WM_636,2.582
E_S_WWC_WM_342,2.43
E_S_WWC_WM_462,2.1
E_S_WWC_WM_354,2.172
E_S_WWC_WM_032,2.002
E_S_WWC_WM_609,2.394
E_S_WWC_WM_443,2.4
E_S_WWC_WM_285,2.232
E_S_WWC_WM_024,2.248
E_S_WWC_WM_601,2.59
E_S_WWC_WM_378,2.094
E_S_WWC_WM_261,2.346
E_S_WWC_WM_671,2.164
E_S_WWC_WM_231,2.384
E_S_WWC_WM_156,2.302
E_S_WWC_WM_160,2.196
E_S_WWC_WM_642,2.15
E_S_WWC_WM_087,2.44
E_S_WWC_WM_144,2.174
E_S_WWC_WM_036,2.542
E_S_WWC_WM_009,2.506
E_S_WWC_WM_135,2.128
E_S_WWC_WM_544,2.346
E_S_WWC_WM_459,2.546
E_S_WWC_WM_274,2.14
E_S_WWC_WM_305,2.15
E_S_WWC_WM_237,2.508
E_S_WWC_WM_022,2.314
E_S_WWC_WM_180,2.094
E_S_WWC_WM_215,2.292
E_S_WWC_WM_431,2.148
E_S_WWC_WM_302,2.16
E_S_WWC_WM_044,2.526
E_S_WWC_WM_449,2.056
E_S_WWC_WM_525,2.232
E_S_WWC_WM_542,2.096
E_S_WWC_WM_026,2.244
E_S_WWC_WM_350,2.084
E_S_WWC_WM_573,2.18
E_S_WWC_WM_018,2.108
E_S_WWC_WM_276,2.51
E_S_WWC_WM_463,2.394
E_S_WWC_WM_438,2.424
E_S_WWC_WM_281,2.366
E_S_WWC_WM_099,2.486
E_S_WWC_WM_297,2.564
E_S_WWC_WM_377,2.142
E_S_WWC_WM_484,2.532
E_S_WWC_WM_186,2.264
E_S_WWC_WM_177,2.554
E_S_WWC_WM_591,2.128
E_S_WWC_WM_481,2.246
E_S_WWC_WM_268,2.24
E_S_WWC_WM_657,2.046
E_S_WWC_WM_136,2.434
E_S_WWC_WM_324,2.512
E_S_WWC_WM_647,2.364
E_S_WWC_WM_430,2.484
E_S_WWC_WM_472,2.284
E_S_WWC_WM_518,2.708
E_S_WWC_WM_488,2.148
E_S_WWC_WM_445,1.9898
E_S_WWC_WM_494,2.216
E_S_WWC_WM_271,2.196
E_S_WWC_WM_014,2.444
E_S_WWC_WM_398,2.51
E_S_WWC_WM_407,2.316
E_S_WWC_WM_249,2.208
E_S_WWC_WM_684,2.216
E_S_WWC_WM_130,2.464
E_S_WWC_WM_286,2.484
E_S_WWC_WM_023,2.372
E_S_WWC_WM_053,2.41
E_S_WWC_WM_654,2.294
E_S_WWC_WM_159,1.948
E_S_WWC_WM_663,2.258
E_S_WWC_WM_429,2.45
E_S_WWC_WM_349,2.092
E_S_WWC_WM_243,2.634
E_S_WWC_WM_116,2.218
E_S_WWC_WM_209,2.232
E_S_WWC_WM_446,2.568
E_S_WWC_WM_416,2.178
E_S_WWC_WM_082,2.276
E_S_WWC_WM_665,2.18
E_S_WWC_WM_075,2.272
E_S_WWC_WM_440,2.234
E_S_WWC_WM_682,2.406
E_S_WWC_WM_104,2.428
E_S_WWC_WM_693,2.322
E_S_WWC_WM_290,2.26
E_S_WWC_WM_331,2.148
E_S_WWC_WM_535,2.152
E_S_WWC_WM_424,2.658
E_S_WWC_WM_496,2.356
E_S_WWC_WM_388,2.546
E_S_WWC_WM_050,2.588
E_S_WWC_WM_336,2.304
E_S_WWC_WM_622,2.496
E_S_WWC_WM_638,2.268
E_S_WWC_WM_418,2.154
E_S_WWC_WM_212,2.552
E_S_WWC_WM_131,2.426
E_S_WWC_WM_543,2.158
E_S_WWC_WM_521,2.268
E_S_WWC_WM_656,2.158
E_S_WWC_WM_469,1.9756
E_S_WWC_WM_406,2.328
E_S_WWC_WM_097,2.128
E_S_WWC_WM_533,2.366
E_S_WWC_WM_473,2.332
E_S_WWC_WM_552,2.266
E_S_WWC_WM_242,2.072
E_S_WWC_WM_182,2.08
E_S_WWC_WM_089,2.318
E_S_WWC_WM_425,2.566
E_S_WWC_WM_395,2.39
E_S_WWC_WM_679,2.632
E_S_WWC_WM_399,2.126
E_S_WWC_WM_683,2.384
E_S_WWC_WM_513,2.454
E_S_WWC_WM_659,2.506
E_S_WWC_WM_220,2.408
E_S_WWC_WM_081,2.14
E_S_WWC_WM_400,2.668
E_S_WWC_WM_146,2.278
E_S_WWC_WM_141,2.43
E_S_WWC_WM_461,2.28
E_S_WWC_WM_340,2.228
E_S_WWC_WM_509,2.384
E_S_WWC_WM_528,2.11
E_S_WWC_WM_556,2.302
E_S_WWC_WM_137,2.66
E_S_WWC_WM_697,2.388
E_S_WWC_WM_482,2.402
E_S_WWC_WM_662,2.468
E_S_WWC_WM_172,2.414
E_S_WWC_WM_480,2.542
E_S_WWC_WM_072,2.67
E_S_WWC_WM_502,2.102
E_S_WWC_WM_109,2.19
E_S_WWC_WM_448,2.212
E_S_WWC_WM_523,2.398
E_S_WWC_WM_536,2.122
E_S_WWC_WM_043,2.658
E_S_WWC_WM_427,2.334
E_S_WWC_WM_059,2.368
E_S_WWC_WM_689,2.15
E_S_WWC_WM_272,2.196
E_S_WWC_WM_539,2.09
E_S_WWC_WM_397,2.47
E_S_WWC_WM_597,2.152
E_S_WWC_WM_079,2.116
E_S_WWC_WM_253,2.546
E_S_WWC_WM_572,2.306
E_S_WWC_WM_334,2.532
E_S_WWC_WM_108,2.172
E_S_WWC_WM_264,2.146
E_S_WWC_WM_310,2.556
E_S_WWC_WM_228,2.352
E_S_WWC_WM_635,2.288
E_S_WWC_WM_504,2.184
E_S_WWC_WM_140,2.306
E_S_WWC_WM_260,2.198
E_S_WWC_WM_266,2.406
E_S_WWC_WM_538,2.166
E_S_WWC_WM_304,2.268
E_S_WWC_WM_690,2.1
E_S_WWC_WM_114,2.284
E_S_WWC_WM_347,2.026
E_S_WWC_WM_658,2.41
E_S_WWC_WM_571,2.436
E_S_WWC_WM_295,2.184
E_S_WWC_WM_692,2.492
E_S_WWC_WM_080,2.192
E_S_WWC_WM_595,2.318
E_S_WWC_WM_246,2.46
E_S_WWC_WM_139,2.386
E_S_WWC_WM_618,2.418
E_S_WWC_WM_458,2.206
E_S_WWC_WM_294,2.342
E_S_WWC_WM_205,2.118
E_S_WWC_WM_073,2.414
E_S_WWC_WM_168,2.208
E_S_WWC_WM_121,2.14
E_S_WWC_WM_583,2.51
E_S_WWC_WM_391,2.46
E_S_WWC_WM_256,2.214
E_S_WWC_WM_629,2.6
E_S_WWC_WM_360,2.538
E_S_WWC_WM_107,2.376
E_S_WWC_WM_084,2.424
E_S_WWC_WM_142,2.178
E_S_WWC_WM_561,2.458
E_S_WWC_WM_061,2.27
E_S_WWC_WM_092,2.008
E_S_WWC_WM_515,2.546
E_S_WWC_WM_373,2.376
E_S_WWC_WM_306,2.144
E_S_WWC_WM_380,2.246
E_S_WWC_WM_517,2.344
E_S_WWC_WM_192,2.07
E_S_WWC_WM_021,2.214
E_S_WWC_WM_201,2.268
E_S_WWC_WM_279,2.074
E_S_WWC_WM_071,1.9998
E_S_WWC_WM_433,2.258
E_S_WWC_WM_541,2.634
E_S_WWC_WM_545,2.456
E_S_WWC_WM_498,1.9906
E_S_WWC_WM_278,2.514
E_S_WWC_WM_457,2.526
E_S_WWC_WM_291,2.356
E_S_WWC_WM_323,2.614
E_S_WWC_WM_650,1.9494
E_S_WWC_WM_643,2.088
E_S_WWC_WM_303,2.42
E_S_WWC_WM_405,2.464
E_S_WWC_WM_633,2.248
E_S_WWC_WM_558,2.156
E_S_WWC_WM_477,2.254
E_S_WWC_WM_613,2.418
E_S_WWC_WM_548,2.242
E_S_WWC_WM_485,2.18
E_S_WWC_WM_033,2.374
E_S_WWC_WM_196,2.376
E_S_WWC_WM_467,2.046
E_S_WWC_WM_499,2.154
E_S_WWC_WM_384,2.342
E_S_WWC_WM_193,2.562
E_S_WWC_WM_491,2.296
E_S_WWC_WM_038,2.354
E_S_WWC_WM_045,2.174
E_S_WWC_WM_632,2.336
E_S_WWC_WM_375,2.21
E_S_WWC_WM_696,2.036
E_S_WWC_WM_314,2.474
E_S_WWC_WM_620,2.156
E_S_WWC_WM_316,2.204
E_S_WWC_WM_415,2.638
E_S_WWC_WM_031,2.27
E_S_WWC_WM_478,2.352
E_S_WWC_WM_151,2.114
E_S_WWC_WM_048,2.366
E_S_WWC_WM_162,2.242
E_S_WWC_WM_183,2.102
E_S_WWC_WM_199,2.054
E_S_WWC_WM_040,2.502
E_S_WWC_WM_090,2.336
E_S_WWC_WM_123,2.35
E_S_WWC_WM_617,2.28
E_S_WWC_WM_526,2.212
E_S_WWC_WM_251,2.406
E_S_WWC_WM_127,2.296
E_S_WWC_WM_653,2.384
E_S_WWC_WM_270,2.426
E_S_WWC_WM_678,2.578
E_S_WWC_WM_013,2.514
E_S_WWC_WM_086,2.322
E_S_WWC_WM_247,2.128
E_S_WWC_WM_475,2.252
E_S_WWC_WM_076,2.424
E_S_WWC_WM_695,2.31
E_S_WWC_WM_309,2.086
E_S_WWC_WM_052,2.508
E_S_WWC_WM_326,2.22
E_S_WWC_WM_063,2.554
E_S_WWC_WM_580,2.524
E_S_WWC_WM_363,2.532
E_S_WWC_WM_275,2.198
E_S_WWC_WM_296,2.602
E_S_WWC_WM_202,2.346
E_S_WWC_WM_546,2.04
E_S_WWC_WM_447,2.474
E_S_WWC_WM_470,2.31
E_S_WWC_WM_163,2.186
E_S_WWC_WM_393,2.11
E_S_WWC_WM_441,2.048
E_S_WWC_WM_213,2.412
E_S_WWC_WM_420,2.376
E_S_WWC_WM_493,2.672
E_S_WWC_WM_501,2.38
E_S_WWC_WM_621,1.988
E_S_WWC_WM_313,2.352
E_S_WWC_WM_320,2.114
E_S_WWC_WM_417,2.134
E_S_WWC_WM_238,2.212
E_S_WWC_WM_625,2.244
E_S_WWC_WM_593,2.112
E_S_WWC_WM_369,2.22
E_S_WWC_WM_008,2.362
E_S_WWC_WM_520,2.276
E_S_WWC_WM_368,2.342
E_S_WWC_WM_120,2.338
E_S_WWC_WM_668,2.038
E_S_WWC_WM_257,2.032
E_S_WWC_WM_111,2.358
E_S_WWC_WM_293,2.248
E_S_WWC_WM_581,2.546
E_S_WWC_WM_371,2.092
E_S_WWC_WM_570,2.498
E_S_WWC_WM_133,2.26
E_S_WWC_WM_582,2.278
E_S_WWC_WM_357,2.45
E_S_WWC_WM_227,2.078
E_S_WWC_WM_007,2.416
E_S_WWC_WM_557,2.458
E_S_WWC_WM_216,2.122
E_S_WWC_WM_503,2.098
E_S_WWC_WM_098,2.03
E_S_WWC_WM_500,2.486
E_S_WWC_WM_041,2.494
E_S_WWC_WM_344,2.494
E_S_WWC_WM_422,2.364
E_S_WWC_WM_016,2.088
E_S_WWC_WM_056,2.398
E_S_WWC_WM_646,2.286
E_S_WWC_WM_345,2.252
E_S_WWC_WM_516,2.574
E_S_WWC_WM_614,2.178
E_S_WWC_WM_594,2.172
E_S_WWC_WM_062,2.31
E_S_WWC_WM_426,2.38
E_S_WWC_WM_394,2.172
E_S_WWC_WM_197,2.344
E_S_WWC_WM_590,2.106
E_S_WWC_WM_200,2.422
E_S_WWC_WM_225,2.738
E_S_WWC_WM_188,2.058
E_S_WWC_WM_627,2.1
E_S_WWC_WM_054,2.084
E_S_WWC_WM_602,2.132
E_S_WWC_WM_158,2.38
E_S_WWC_WM_152,2.394
E_S_WWC_WM_333,2.132
E_S_WWC_WM_589,2.334
E_S_WWC_WM_157,2.206
E_S_WWC_WM_611,2.24
E_S_WWC_WM_325,2.092
E_S_WWC_WM_419,2.11
E_S_WWC_WM_576,2.14
E_S_WWC_WM_550,2.372
E_S_WWC_WM_012,2.186
E_S_WWC_WM_607,2.1
E_S_WWC_WM_667,2.036
E_S_WWC_WM_586,2.33
E_S_WWC_WM_575,2.312
E_S_WWC_WM_564,2.336
E_S_WWC_WM_434,2.41
E_S_WWC_WM_699,2.43
E_S_WWC_WM_165,2.464
E_S_WWC_WM_046,2.508
E_S_WWC_WM_083,2.514
E_S_WWC_WM_606,2.12
E_S_WWC_WM_298,2.306
E_S_WWC_WM_700,2.356
E_S_WWC_WM_688,2.646
E_S_WWC_WM_233,2.426
E_S_WWC_WM_508,2.068
E_S_WWC_WM_374,2.268
E_S_WWC_WM_288,2.534
E_S_WWC_WM_185,2.276
E_S_WWC_WM_318,2.386
E_S_WWC_WM_126,2.318
E_S_WWC_WM_011,2.082
E_S_WWC_WM_254,2.188
E_S_WWC_WM_037,2.554
E_S_WWC_WM_103,2.44
E_S_WWC_WM_064,2.412
E_S_WWC_WM_483,2.342
E_S_WWC_WM_181,2.41
E_S_WWC_WM_335,2.18
E_S_WWC_WM_167,2.532
E_S_WWC_WM_124,2.096
E_S_WWC_WM_346,2.408
E_S_WWC_WM_453,2.186
E_S_WWC_WM_351,2.47
E_S_WWC_WM_648,2.284
E_S_WWC_WM_492,2.188
E_S_WWC_WM_204,2.044
E_S_WWC_WM_143,2.412
E_S_WWC_WM_113,2.206
E_S_WWC_WM_396,2.254
E_S_WWC_WM_464,2.45
E_S_WWC_WM_154,2.504
E_S_WWC_WM_578,2.214
E_S_WWC_WM_179,2.614
E_S_WWC_WM_559,2.386
E_S_WWC_WM_495,2.536
E_S_WWC_WM_519,2.518
E_S_WWC_WM_184,2.458
E_S_WWC_WM_686,2.578
E_S_WWC_WM_221,2.414
E_S_WWC_WM_637,2.208
E_S_WWC_WM_361,2.29
E_S_WWC_WM_198,2.362
E_S_WWC_WM_666,2.47
E_S_WWC_WM_608,2.502
E_S_WWC_WM_353,2.506
E_S_WWC_WM_460,2.262
E_S_WWC_WM_101,2.266
E_S_WWC_WM_077,2.658
E_S_WWC_WM_364,2.44
E_S_WWC_WM_510,2.522
E_S_WWC_WM_226,2.41
E_S_WWC_WM_413,2.144
E_S_WWC_WM_273,2.01
E_S_WWC_WM_670,2.628
E_S_WWC_WM_616,2.43
E_S_WWC_WM_675,2.058
E_S_WWC_WM_173,2.412
E_S_WWC_WM_006,2.6
E_S_WWC_WM_579,2.308
E_S_WWC_WM_522,2.154
E_S_WWC_WM_442,2.476
E_S_WWC_WM_105,2.118
E_S_WWC_WM_634,2.4
E_S_WWC_WM_102,2.034
E_S_WWC_WM_362,2.122
E_S_WWC_WM_645,2.378
E_S_WWC_WM_287,2.32
E_S_WWC_WM_639,2.316
E_S_WWC_WM_208,2.506
E_S_WWC_WM_280,2.476
E_S_WWC_WM_134,2.004
E_S_WWC_WM_329,2.514
E_S_WWC_WM_207,2.334
E_S_WWC_WM_145,2.288
E_S_WWC_WM_584,2.568
E_S_WWC_WM_128,2.458
E_S_WWC_WM_069,2.506
E_S_WWC_WM_487,2.054
E_S_WWC_WM_074,2.692
E_S_WW_WM_315,2.19
E_S_WW_WM_129,2.666
E_S_WW_WM_191,2.136
E_S_WW_WM_565,2.058
E_S_WW_WM_512,2.154
E_S_WW_WM_311,1.9944
E_S_WW_WM_476,2.372
E_S_WW_WM_383,2.574
E_S_WW_WM_039,2.398
E_S_WW_WM_100,2.014
E_S_WW_WM_428,2.154
E_S_WW_WM_412,2.52
E_S_WW_WM_596,2.25
E_S_WW_WM_015,2.538
E_S_WW_WM_698,2.362
E_S_WW_WM_308,2.282
E_S_WW_WM_132,2.078
E_S_WW_WM_560,2.38
E_S_WW_WM_641,2.21
E_S_WW_WM_122,2.262
E_S_WW_WM_068,2.268
E_S_WW_WM_506,2.04
E_S_WW_WM_390,2.394
E_S_WW_WM_691,2.544
E_S_WW_WM_439,2.34
E_S_WW_WM_534,2.258
E_S_WW_WM_553,1.9242
E_S_WW_WM_332,2.29
E_S_WW_WM_078,2.176
E_S_WW_WM_660,2.558
E_S_WW_WM_358,2.644
E_S_WW_WM_600,2.374
E_S_WW_WM_263,2.494
E_S_WW_WM_644,2.572
E_S_WW_WM_367,2.092
E_S_WW_WM_085,2.556
E_S_WW_WM_219,2.204
E_S_WW_WM_404,2.308
E_S_WW_WM_224,2.272
E_S_WW_WM_615,2.212
E_S_WW_WM_027,2.24
E_S_WW_WM_125,2.298
E_S_WW_WM_681,2.464
E_S_WW_WM_680,2.264
E_S_WW_WM_319,2.166
E_S_WW_WM_610,2.442
E_S_WW_WM_603,2.608
E_S_WW_WM_164,2.298
E_S_WW_WM_531,2.054
E_S_WW_WM_524,2
E_S_WW_WM_674,2.322
E_S_WW_WM_409,2.504
E_S_WW_WM_217,2.416
E_S_WW_WM_211,2.128
E_S_WW_WM_284,2.448
E_S_WW_WM_112,2.426
E_S_WW_WM_317,2.26
E_S_WW_WM_174,2.314
E_S_WW_WM_574,2.336
E_S_WW_WM_337,2.192
E_S_WW_WM_194,2.232
E_S_WW_WM_631,2.324
E_S_WW_WM_551,2.582
E_S_WW_WM_289,2.042
E_S_WW_WM_577,2.512
E_S_WW_WM_255,2.084
E_S_WW_WM_567,2.25
E_S_WW_WM_365,2.246
E_S_WW_WM_568,2.212
E_S_WW_WM_169,2.194
E_S_WW_WM_624,2.41
E_S_WW_WM_555,2.428
E_S_WW_WM_673,2.67
E_S_WW_WM_312,2.122
E_S_WW_WM_423,2.152
E_S_WW_WM_605,2.486
E_S_WW_WM_454,2.142
E_S_WW_WM_411,2.534
E_S_WW_WM_187,2.482
E_S_WW_WM_655,2.05
E_S_WW_WM_379,2.064
E_S_WW_WM_356,2.604
E_S_WW_WM_532,2.084
E_S_WW_WM_497,2.484
E_S_WW_WM_262,2.06
E_S_WW_WM_465,2.068
E_S_WW_WM_229,2.214
E_S_WW_WM_283,2.304
E_S_WW_WM_563,2.392
E_S_WW_WM_010,2.264
E_S_WW_WM_569,2.086
E_S_WW_WM_474,2.498
E_S_WW_WM_612,2.152
E_S_WW_WM_355,2.206
E_S_WW_WM_527,2.248
E_S_WW_WM_047,2.388
E_S_WW_WM_330,2.496
E_S_WW_WM_060,2.48
E_S_WW_WM_372,2.344
E_S_WW_WM_153,2.64
E_S_WW_WM_029,2.31
E_S_WW_WM_623,2.386
E_S_WW_WM_452,2.624
E_S_WW_WM_091,2.134
E_S_WW_WM_468,2.206
E_S_WW_WM_585,2.414
E_S_WW_WM_436,2.618
E_S_WW_WM_058,2.656
E_S_WW_WM_248,2.576
E_S_WW_WM_348,2.566
E_S_WW_WM_277,2.36
E_S_WW_WM_672,2.116
E_S_WW_WM_651,2.556
E_S_WW_WM_376,2.276
E_S_WW_WM_343,2.216
E_S_WW_WM_366,2.082
E_S_WW_WM_598,2.212
E_S_WW_WM_341,2.148
E_S_WW_WM_321,2.232
E_S_WW_WM_370,2.578
E_S_WW_WM_190,2.546
E_S_WW_WM_514,2.066
E_S_WW_WM_479,1.9858
E_S_WW_WM_511,2.518
E_S_WW_WM_450,2.558
E_S_WW_WM_017,2.03
E_S_WW_WM_437,2.16
E_S_WW_WM_234,2.226
E_S_WW_WM_490,2.432
E_S_WW_WM_189,1.9942
E_S_WW_WM_408,2.072
E_S_WW_WM_300,2.276
E_S_WW_WM_028,2.36
E_S_WW_WM_661,2.194
E_S_WW_WM_093,2.38
E_S_WW_WM_161,2.17
E_S_WW_WM_222,2.262
E_S_WW_WM_119,2.362
E_S_WW_WM_301,2.144
E_S_WW_WM_020,2.316
E_S_WW_WM_057,2.38
